PS C:\Users\gerry\Downloads> ollama list
NAME                                                   ID              SIZE      MODIFIED
qwen3-embedding:0.6b                                   ac6da0dfba84    639 MB    23 hours ago
qwen3-embedding:4b                                     df5bd2e3c74c    2.5 GB    23 hours ago
nomic-embed-text-v2-moe:latest                         ff9c2f10ef5e    957 MB    23 hours ago
x/z-image-turbo:latest                                 a8e374d2db2c    12 GB     25 hours ago
huihui_ai/gpt-oss-abliterated:20b                      cf12b0b96860    13 GB     25 hours ago
x/flux2-klein:latest                                   0107f1df9905    5.7 GB    25 hours ago
qwen3:14b                                              2b9ffede4a51    9.3 GB    25 hours ago
cogito:14b                                             df070ec031ad    9.0 GB    25 hours ago
deepseek-r1:14b                                        bde73b1178d2    9.0 GB    25 hours ago
sivab14/cogito-thinking:latest                         2a4ea05c8611    9.0 GB    25 hours ago
sllm/glm-z1-9b:latest                                  ffaa3782e3dd    8.6 GB    25 hours ago
deepcoder:latest                                       88ef73188415    9.0 GB    25 hours ago
llama3.2-vision:11b-instruct-q4_K_M                    27b184e8d76f    7.8 GB    25 hours ago
gemma3:12b                                             e6b99dcc285c    8.1 GB    25 hours ago
MartinRizzo/Ayla-Light-v2:12b-q4_K_M                   52bddadcddfc    7.5 GB    25 hours ago
gemma3n:latest                                         7b2976504b43    7.5 GB    25 hours ago
llama3.2-vision:latest                                 0bb8d4fd1aed    7.8 GB    25 hours ago
mistral-nemo:12b                                       96d554127efd    7.1 GB    25 hours ago
deepseek-ocr:latest                                    e7711c43e067    6.7 GB    25 hours ago
deepseek-r1:8b                                         b896fe368f3f    5.2 GB    25 hours ago
0xroyce/plutus:latest                                  2cbaa04df5e6    5.7 GB    25 hours ago
redule26/huihui_ai_qwen2.5-vl-7b-abliterated:latest    3e4aee5532e6    6.0 GB    25 hours ago
gemma:latest                                           c40d4a7c3520    5.0 GB    25 hours ago
gurubot/glazer:latest                                  66c51f0cde44    4.9 GB    25 hours ago
granite3.3:8b                                          ff8612cb58a0    4.9 GB    25 hours ago
openthinker:7b                                         cd33c2f9f871    4.7 GB    25 hours ago
llama3.1:latest                                        5da6435f7fea    4.9 GB    25 hours ago
llava:latest                                           8dfc3b2e6f7e    4.7 GB    25 hours ago
hermes3:8b                                             f99a2de6d8b1    4.7 GB    25 hours ago
MedAIBase/Qwen3-VL-Embedding:2b                        7091fa567c11    3.4 GB    25 hours ago
llama3:latest                                          88fe9956894e    4.7 GB    25 hours ago
smallthinker:latest                                    2ac23027cea2    3.6 GB    25 hours ago
translategemma:4b                                      ad05f4287647    3.3 GB    25 hours ago
gemma3:4b                                              535196c1c08e    3.3 GB    25 hours ago
phi4-mini:3.8b                                         a83b31d94767    2.5 GB    25 hours ago
phi4-mini-reasoning:latest                             209da882c030    3.2 GB    25 hours ago
MedAIBase/MedGemma1.0:4b                               f5eafcb22cfe    2.5 GB    25 hours ago
helpful-assistant:latest                               128b66be8a4d    2.0 GB    25 hours ago
phi3:mini                                              eb083a266585    2.2 GB    25 hours ago
smollm2:1.7b                                           f469fc7092d6    1.8 GB    25 hours ago
llama3.2:latest                                        7eb428658673    2.0 GB    25 hours ago
deepcoder:1.5b                                         943c1450c74a    1.1 GB    25 hours ago
granite4:350m                                          63155f577eca    708 MB    25 hours ago
gemma3:1b                                              66d1ddc65a6a    815 MB    25 hours ago
functiongemma:latest                                   90f3354eb803    300 MB    25 hours ago
smollm2:360m                                           aa70ac03f3e8    725 MB    25 hours ago
qwen2.5-coder:0.5b                                     e6fde5f0b422    397 MB    25 hours ago
embeddinggemma:latest                                  c5bea0885a86    621 MB    25 hours ago
mxbai-embed-large:latest                               766be51f87f1    669 MB    25 hours ago
nomic-embed-text:latest                                98c457adce05    274 MB    25 hours ago
rnj-1:8b-cloud                                         ec29839b07a3    -         25 hours ago
kimi-k2:1t-cloud                                       8dfc11be7149    -         25 hours ago
mistral-large-3:675b-cloud                             b04484b3d3fe    -         25 hours ago
qwen3-vl:235b-cloud                                    aa9de2149356    -         25 hours ago
cogito-2.1:671b-cloud                                  d1636d12ea1d    -         25 hours ago
devstral-2:123b-cloud                                  2ad60f60c178    -         25 hours ago
qwen3-vl:235b-instruct-cloud                           4682d1ce12c3    -         25 hours ago
gpt-oss:120b-cloud                                     375e15be1e95    -         25 hours ago
qwen3-next:80b-cloud                                   56babc54aa52    -         25 hours ago
nemotron-3-nano:30b-cloud                              ad06ddf560a4    -         25 hours ago
devstral-small-2:24b-cloud                             2d83c380cf0f    -         25 hours ago
gpt-oss:20b-cloud                                      c65b8de7ebeb    -         25 hours ago
ministral-3:14b-cloud                                  c61c2c45d2cf    -         25 hours ago
gemma3:12b-cloud                                       142b948b3074    -         25 hours ago
ministral-3:8b-cloud                                   f1704ee7d9da    -         25 hours ago
ministral-3:3b-cloud                                   4e02217b266e    -         25 hours ago
minimax-m2:cloud                                       b91f9c75c993    -         25 hours ago
kimi-k2-thinking:cloud                                 3675051a0a52    -         25 hours ago
glm-4.6:cloud                                          766f3280058e    -         25 hours ago
glm-4.7:cloud                                          772e6d09839c    -         25 hours ago
deepseek-v3.1:671b-cloud                               88d313db523c    -         25 hours ago
qwen3-coder:480b-cloud                                 1764b1cfdc14    -         25 hours ago
minimax-m2.1:cloud                                     521c11db0921    -         25 hours ago
qwen3-coder-next:cloud                                 2b800d05a767    -         25 hours ago
deepseek-v3.2:cloud                                    105e17edf53f    -         25 hours ago
glm-5:cloud                                            c1d2b3fbfbaf    -         25 hours ago
minimax-m2.5:cloud                                     e88bc8c2854e    -         25 hours ago
qwen3.5:397b-cloud                                     c75d14914fcf    -         25 hours ago
qwen3.5:cloud                                          1657aa79e05f    -         25 hours ago
nemotron-3-super:cloud                                 05add57708d3    -         25 hours ago
gemini-3-flash-preview:cloud                           2947b3dc4e52    -         25 hours ago
minimax-m2.7:cloud                                     73e193653e77    -         25 hours ago
glm-5.1:cloud                                          c733d6c8a0b5    -         25 hours ago
gemma4:31b-cloud                                       fc3410d0cb9d    -         25 hours ago
kimi-k2.5:cloud                                        407db810bab0    -         25 hours ago
gemini-3-flash-preview:latest                          ebade0d31690    -         5 weeks ago
gemini-3-pro-preview:latest                            91a1db042ba1    -         2 months ago
gemma3:27b-cloud                                       1f9bd34a11cc    -         25 hours ago
